"genus","different"
"CATALPA","yes"
"CATANANCHE","no"
"CATHA","yes"
"CATHARANTHUS","no"
"CAUCALIS","no"
"CAULERPA","yes"
"CAULOPHYLLUM","no"
"CEANOTHUS","no"
"CEDRELA","no"
"CEDRELOPSIS","no"
"CEDRUS","no"
"CELASTRUS","no"
"CELSIA","no"
"CELTIS","no"
"CENTAUREA","no"
"CENTELLA","no"
"CENTRANTHUS","no"
"CENTRARIA","yes"
"CENTRATHERUM","no"
"CEPHALIS","yes"
"CEPHALARIA","no"
"CEPHALOSPHAERA","no"
"CEPHALOSPORIUM","yes"
"CEPHALOTAXUS","no"
"CERAMIUM","yes"
"CERASTIUM","no"
"CERATOCYSTIS","yes"
"CERATOPETALUM","no"
"CERBERA","no"
"CERBERTA","yes"
"CERCIDIPHYLLUM","no"
"CERCOSPORA","yes"
"CEREUS","no"
"CEROPEGIA","no"
"CERURA","yes"
"CETRARIA","yes"
"CHAENOMELES","no"
"CHAENORHINUM","no"
"CHAITURUS","no"
"CHAMAECYPARIS","no"
"CHAMAEDAPHNE","no"
"CHAMAENERION","yes"
"CHAMONIXIA","yes"
"CHARTOLEPIS","yes"
"CHASMANTHERA","no"
"CHEILANTHES","no"
"CHELIDONIUM","no"
"CHENOPODIUM","no"
"CHICORUM","yes"
"CHIDLOWIA","no"
"CHILOSCYPHUS","no"
"CHIMONANTHUS","no"
"CHIONOGRAPHIS","no"
"CHISOCHETON","no"
"CHLORANTHUS","no"
"CHLORODESMIS","yes"
"CHLOROGALUM","no"
"CHLOROPHORA","yes"
"CHLOROXYLON","no"
"CHOANEPHRA","yes"
"CHOISYA","no"
"CHONDRIA","yes"
"CHONDROCOCCUS","yes"
"CHONDRODENDRON","no"
"CHONEMORPHA","no"
"CHORISIA","yes"
"CHRESTA","no"
"CHROMOLAENA","no"
"CHRYSANTELLUM","yes"
"CHRYSANTHEMUM","no"
"CHRYSOSPLENIUM","no"
"CHRYSOTHAMNUS","no"
"CHUKRASIA","no"
"CHYSIS","no"
"CICAS","yes"
"CYCAS","no"
"CIMICIFUGA","no"
"CINCHONA","yes"
"CINERARIA","no"
"CINNAMOMUM","no"
"CINNAMOSMA","no"
"CIRSIUM","no"
"CISSAMPELOS","no"
"CISSUS","no"
"CISTANCHE","no"
"CISTUS","no"
"CITHAREXYLUM","no"
"CITRULLUS","no"
"CITRUS","no"
"CITRUS-PONCIRUS","yes"
"CLADONIA","yes"
"CLADOPHORA","yes"
"CLADRASTIS","no"
"CLARISIA","no"
"CLAUSENA","no"
"CLAVICEPS","yes"
"CLAVULARIA","yes"
"CLEISTANTHUS","no"
"CLEISTOPHOLIS","no"
"CLEMATIS","no"
"CLEOME","no"
"CLEONIA","no"
"CLERODENDRON","yes"
"CLETHRA","no"
"CLIBADIUM","no"
"CLIMACOPTERA","no"
"CLITOCYBE","yes"
"CLITORIA","no"
"CLIVIA","no"
"CLUSIA","yes"
"CLYTIA","yes"
"CNEORUM","no"
"CNESTUS","yes"
"CNICOTHAMNUS","no"
"CNICUS","no"
"CNIDIUM","no"
"COCCIFERA","yes"
"COCCOLOBA","no"
"COCCULUS","no"
"COCHLEARIA","no"
"COCHLIOBOLUS","yes"
"COCHLOSPERMUM","no"
"COCSINIUM","yes"
"CODIUM","yes"
"CODONOCARPUS","no"
"CODONOCEPHALUM","no"
"CODONOPSIS","no"
"COELIDIUM","no"
"COELOCLINE","yes"
"COFFEA","no"
"COIX","no"
"COLA","yes"
"COLCHICUM","no"
"COLEUS","yes"
"COLLADONIUM","yes"
"COLLETIA","no"
"COLLETOTRICHUM","yes"
"COLLYBIA","yes"
"COLONA","yes"
"COLUBRINA","no"
"COLYTHIS","yes"
"COMBRETIUM","yes"
"COMMELINA","no"
"COMMIPHORA","no"
"COMMITHECA","yes"
"COMULARIA","yes"
"CONANDRON","no"
"CONDURANGO","yes"
"CONIUM","no"
"CONOCARPUS","no"
"CONOCEPHALUM","no"
"CONOCLINIOPSIS","no"
"CONOPHARYNGIA","yes"
"CONSOLIDA","no"
"CONVALLARIA","no"
"CONVOLVULUS","no"
"CONYZA","no"
"COOPERIA","yes"
"COPAIFERA","no"
"COPRIMUS","yes"
"COPRINARIUS","yes"
"COPROSMA","no"
"COPTIS","no"
"CORALLIA","yes"
"CORALLINA","yes"
"CORBICULA","yes"
"CORCHORUS","no"
"CORDIA","no"
"CORDYCEPS","yes"
"CORDYLA","no"
"CORDYLINE","no"
"COREOPSIS","no"
"CORIARIA","no"
"CORIOLUS","yes"
"CORNULACA","no"
"CORNUS","no"
"CORONILLA","no"
"CORTEX","yes"
"CORTICUM","yes"
"CORTINARIUS","yes"
"CORYDALIS","no"
"CORYLUS","no"
"CORYNANTHE","no"
"CORYPHANTHA","no"
"CORYSPERMUM","yes"
"COSMOS","yes"
"COSTUS","no"
"COTULA","no"
"COTYLEDON","yes"
"COURBONIA","yes"
"COUROUPITA","no"
"CRASPIDOSPERMUM","no"
"CRATAEGUS","no"
"CRATOXYLON","yes"
"CREMASTOSPERMA","no"
"CREPIS","no"
"CRESSA","no"
"CRINODENDRON","no"
"CRINUM","no"
"CRIOCERAS","no"
"CRITONIA","no"
"CROCUS","yes"
"CRONQUISTIANTHUS","no"
"CROOMIA","no"
"CROPTILON","no"
"CROSSOPTERYX","no"
"CROSSOSTYLIS","no"
"CROTALARIA","no"
"CROTON","yes"
"CRYPTOCARYA","no"
"CRYPTOLEPIS","no"
"CRYPTOMERIA","no"
"CRYPTOMONAS","yes"
"CRYPTOSTEGIA","no"
"CRYPTOSTYLIS","no"
"CRYSTOPHORA","yes"
"CUCUBALUS","yes"
"CUCUMARIA","yes"
"CUCUMIS","no"
"CUCURBITA","no"
"CUDRANIA","yes"
"CULLUMIA","no"
"CUNNINGHAMIA","no"
"CUNURIA","yes"
"CUPRESSUS","no"
"CURARIA","yes"
"CURCULIGO","no"
"CURCUMA","no"
"CUSPIDUM","yes"
