"genus","different"
"PSILOTROPHE","yes"
"PSILOTUM","no"
"PSORALEA","no"
"PSOROMA","yes"
"PSYCHOTRIA","no"
"PTAEROXYLON","no"
"PTELEA","no"
"PTERIDIUM","no"
"PTERIDOPHYLLUM","yes"
"PTERIS","no"
"PTEROCARPUS","no"
"PTEROCARYA","no"
"PTEROCAULON","no"
"PTEROCEPHALUS","no"
"PTEROCEREUS","no"
"PTERODON","no"
"PTEROGYNE","no"
"PTERONIA","no"
"PTEROXYLON","yes"
"PTERYXIA","no"
"PTILIDIUM","no"
"PTILOSARCUS","yes"
"PTILOSTEMON","no"
"PUCCINIA","yes"
"PUERARIA","no"
"PULICARIA","no"
"PULSATILLA","no"
"PULTNAEA","yes"
"PUNICA","no"
"PUTRANJIVA","no"
"PUTTERLICKIA","no"
"PYCNANTHUS","no"
"PYCNARRHENA","no"
"PYGEUM","no"
"PYGMACOPREMNA","yes"
"IUPAC","yes"
"PYRETHRUM","no"
"PYRACANTHA","no"
"PYROLA","no"
"PYRUS","no"
"PYXINE","yes"
"QUALEA","no"
"QUARARIBEA","no"
"QUASSIA","no"
"QUERCUS","no"
"QUISQUALIS","no"
"RABDOSIA","yes"
"RADERMACHERA","no"
"RADIX","yes"
"RADULA","no"
"RAMALINA","yes"
"RANDIA","no"
"RANUNCULUS","no"
"RAPANEA","no"
"RAUWOLFIA","yes"
"RAVENIA","no"
"READEA","no"
"REAUMURIA","no"
"REHMANNIA","no"
"REICHARDIA","no"
"REINECKIA","yes"
"REINKELLA","yes"
"REJOUA","yes"
"RELHANIA","no"
"REMERIA","yes"
"REMIJA","yes"
"REMIREA","no"
"RESEDA","no"
"RETAMA","yes"
"RETANILLA","no"
"RHAMNUS","no"
"RHAPONTICUM","no"
"RHAZYA","no"
"RHEEDIA","no"
"RHEI","yes"
"RHEUM","yes"
"RHIGIOCARYA","no"
"RHINOPETALUM","yes"
"RHIPOCEPHALUS","yes"
"RHIZOBIUM","yes"
"RHIZOCTONIA","yes"
"RHIZOPUS","yes"
"RHODEA","yes"
"RHODIOLA","no"
"RHODNIUS","yes"
"RHODODENDRON","no"
"RHODOMELA","yes"
"RHODOMYRTUS","no"
"RHODOPAXILLUS","yes"
"RHODOPHIALA","no"
"RHODOPHYLLUS","yes"
"RHODYMENIA","yes"
"RHUS","no"
"RHYNCHOSIA","no"
"RICCARDIA","no"
"RICCIA","no"
"RICINOCARPUS","yes"
"RICINUS","no"
"RIELLA","no"
"RINDERA","no"
"ROBINIA","yes"
"ROCCELLA","yes"
"ROEMERIA","no"
"ROLANDRA","no"
"ROLLINIA","no"
"ROMNEYA","yes"
"RONDELETIA","no"
"ROSA","yes"
"ROSMARINUS","no"
"ROTHMANNIA","no"
"ROTTLERA","yes"
"ROUREA","no"
"ROYLEA","no"
"ROZITES","yes"
"RUBIA","yes"
"RUBUS","no"
"RUDBECKIA","no"
"RUELLIA","no"
"RUILOPEZIA","no"
"RUMEX","no"
"RUPUS","yes"
"RUSCUS","no"
"RUSPOLIA","no"
"RUSSULA","yes"
"RUTA","no"
"RYANIA","no"
"RYTIPHLEA","yes"
"SABADILLA","yes"
"SABINA","yes"
"SACCHARUM","no"
"SAELANIA","no"
"SAFRAN","yes"
"SAGINA","no"
"SAGOTIA","no"
"SALACIA","no"
"SALICORNIA","no"
"SALIX","no"
"SALMALIA","yes"
"SALMEA","no"
"SALSOLA","no"
"SALVADORA","no"
"SALVIA","no"
"SAMADERA","yes"
"SAMBUCUS","no"
"SAMUELA","yes"
"SANBARIA","yes"
"SANDORICUM","no"
"SANGUINARIA","no"
"SANGUIS","yes"
"SANGUISORBA","no"
"SANSEVIERA","yes"
"SANTALUM","no"
"SANTOLINA","no"
"SAPINDUS","no"
"SAPIUM","no"
"SAPONARIA","no"
"SAPRANTHUS","no"
"SAPROSPIRA","yes"
"SARCOCAPNOS","yes"
"SARACOCOCCA","yes"
"SARCOLAEANA","yes"
"SARCOMELICOPE","no"
"SARGASSUM","yes"
"SARGENTIA","yes"
"SARGENTODOXA","no"
"SAROTHAMNUS","no"
"SARRACENIA","no"
"SASSAFRAS","yes"
"SATUREJA","no"
"SAURURUS","no"
"SAUSSUREA","no"
"SAUTELLARIA","yes"
"SAXIFRAGA","no"
"SCABIOSA","no"
"SCAPANIA","no"
"SCAVEOLA","yes"
"SCENEDESMUS","yes"
"SCEPTRIDIUM","no"
"SCHEFFLERA","no"
"SCHELHAMMERA","no"
"SCHINUS","no"
"SCHISANDRA","no"
"SCHISTOSTEPHIUM","no"
"SCHIZANTHUS","no"
"SCHIZONEPETA","yes"
"SCHIZOPELTE","yes"
"SCHIZOZYGIA","no"
"SCHKUHRIA","no"
"SCHLEICHERA","no"
"SCHOENOCAULON","no"
"SCHOTIA","no"
"SCHUMMANIOPHYTON","yes"
"SCIADOPITYS","no"
"SCIADOTENIA","no"
"SCIRPUS","no"
"SCLERODERMA","yes"
"SCLEROTINA","yes"
"SCOPARIA","no"
"SCOPOLIA","no"
"SCROPHULARIA","no"
"SCUTELLARIA","no"
"SCUTIA","no"
"SEBASTIANA","yes"
"SECHIUM","no"
"SECURIDACA","no"
"SECURINEGA","no"
"SEDUM","no"
"SELINUM","no"
"SEMECARPUS","no"
"SEMELE","no"
"SEMENOVIA","no"
"SEMPERVIVUM","no"
"SENECIO","yes"
"SEPTORIA","yes"
"SEQUOIA","yes"
"SEQUOIADENDRON","no"
"SERRATULA","no"
"SESAMUM","no"
"SESBANIA","no"
"SESELI","no"
"SEVERINA","yes"
"SHEPHERDIA","no"
"SHEPNOPAPPUS","yes"
"SHOREA","no"
"SIDERITIS","no"
"SIEGESBECKIA","no"
"SIGMOSCEPTRELLA","yes"
"SILAUM","no"
"SILENE","no"
"SILPHIUM","no"
"SILYBUM","no"
"SIMABA","no"
"SIMAROUBA","no"
"SIMMONDSIA","no"
"SIMSIA","no"
"SINAPIS","no"
"SINDORA","no"
"SINOMENIUM","no"
"SINTON","yes"
"SIPHONODON","no"
"SIPHULA","yes"
"SISYMBRIUM","no"
"SIUM","no"
"SKIMMIA","no"
"SKYTANTHUS","no"
"SMALLANTHUS","no"
"SMILACENA","yes"
"SMILAX","no"
"SMIRNIOPSIS","yes"
"SMIRNOVIA","yes"
"SMYRNIUM","yes"
"SOLANDRA","no"
"SOLANOSTOMA","yes"
"SOLANUM","no"
"SOLENANTHUS","no"
"SOLENOSTEMON","no"
"SOLENOSTOMA","no"
"SOLIDAGO","no"
"SOLORINA","yes"
"SONCHUS","no"
"SONNERATIA","no"
"SOPHORA","no"
"SORBARIA","no"
"SORBUS","no"
"SOULAMEA","yes"
"SOYMIDA","no"
"SPARTIUM","no"
"SPATHELIA","no"
"SPHAERANTHUS","no"
"SPHAEROCARPOS","yes"
"SPHAEROCOCCUS","yes"
"SPHAEROPHORUS","yes"
"SPHAEROPHYSA","no"
"SPHAGNUM","no"
"SPILANTHES","no"
"SPINACEA","yes"
"SPIRAEA","no"
"SPIROSTACHYS","no"
"SPONDIAS","no"
"SPORORMIA","yes"
"SPREKELIA","no"
"STACHYS","no"
"STACHYTARPHETA","no"
"STACHYURUS","no"
"STAPHYLEA","no"
"STAUNTONIA","no"
"STEGANOTAENIA","no"
"STEIRACTINIA","no"
"STELLERA","no"
"STEMMADENIA","no"
"STEMODIA","no"
"STEMONA","no"
"STENACHAENIUM","no"
"STENOCALYX","yes"
"STENOCARPUS","no"
"STENOSOLON","yes"
"STEPHANIA","no"
"STEPHANOTIS","no"
"STERCULIA","no"
"STEREOCAULON","yes"
"STEREOSPERMUM","no"
"STEREUM","yes"
"STERNBERGIA","no"
"STEVIA","no"
"STICTA","yes"
"STILBE","no"
"STILLINGIA","no"
"STILPNOPAPPUS","no"
"STILPNOPHYTUM","yes"
"STIZOLOBIUM","no"
"STIZOLOPHUS","no"
"STOEBE","no"
"STOECHOSPERMUM","yes"
"STOKESIA","no"
"STOMANTHUS","yes"
"STREBLUS","no"
"STREMPELIOPSIS","no"
"STROPHANTHUS","no"
"STRYCHNOS","no"
"STUARTIA","yes"
"STYLOPHORUM","no"
"STYLOTRICHUM","yes"
"STYPANDRA","no"
"STYPHNODENDRON","yes"
"STYPOPODIUM","yes"
"STYRAX","no"
"SUAEDA","no"
"SUBTRIBUS","yes"
"SUILLUS","yes"
"SURIANA","no"
"SWAINSONIA","yes"
"SWARTZIA","no"
"SWEETIA","no"
"SWERTIA","yes"
"SWIETENIA","no"
"SWINGLEA","no"
"SYMPHONIA","no"
"SYMPHOPAPPUS","yes"
"SYMPHORICARPUS","yes"
"SYMPHYTUM","no"
"SYMPLOCOS","no"
"SYNCARPIA","no"
"SYNEILENSIS","yes"
"SYNTHERISMA","yes"
"SYRENIA","no"
"SYRINGA","no"
"SYZYGIUM","no"
"TABEBUIA","no"
"TABERNAEMONTANA","no"
"CENIC","yes"
"CENIC","yes"
"TABERNANTHE","no"
"TACCA","yes"
"TAGETES","no"
"TAIWANIA","no"
"TALASSA","yes"
"TALAUMA","yes"
"TAMARIX","no"
"TAMUS","yes"
"TANACETOPSIS","no"
"TANACETUM","no"
"TANGHINIA","yes"
"TAONIA","yes"
"TARAXACUM","no"
"TARENNA","no"
"TAXILLUS","no"
"TAXODIUM","no"
"TAXUS","yes"
"TECLEA","no"
"TECOMA","no"
"TECOMELLA","no"
"TECTONA","no"
"TEDANIA","yes"
"TELEKIA","no"
"TELETOXICUM","yes"
"TELLIMA","yes"
"TELOSCHISTES","yes"
"TEMPLETONIA","no"
"TEPHROSIA","no"
"TERMINALIA","no"
"TERNSTROEMIA","no"
"TESSARIA","no"
"TESTULEA","yes"
"TETRACHYRON","no"
"TETRACLINUS","yes"
"TETRADENIA","no"
"TETRADYMIA","no"
"TETRAGONIA","no"
"TETRAGONOTHAEA","yes"
"TETRAPANAX","no"
"TETRAPATHAEA","no"
"TETRATAENIUM","yes"
"TEUCRIUM","no"
"TEVENOTICA","yes"
"THALICTRUM","no"
"THAMNOLIA","yes"
"THAMNOSMA","no"
"THAPSIA","yes"
"THEA","yes"
"THELEPHORA","yes"
"THELEPOGON","no"
"THELEPUS","yes"
"THELESPERMA","no"
"THELONOTA","yes"
"THEOBROMA","no"
"THEONELLA","yes"
"THERMOPSIS","no"
"THESIUM","no"
"THESPESIA","no"
"THEVETIA","no"
"THLASPI","no"
"THRYPTOMENE","no"
"THUJA","no"
"THUJOPSIS","no"
"THYMBRA","no"
"THYMELAEA","no"
"THYMUS","yes"
"THYRSANOSPERMUM","yes"
"TILIA","yes"
"TILIACORA","no"
"TILLANDSIA","no"
"TIMONIUS","no"
"TINOMISCIUM","no"
"TINOSPORA","no"
"TITHONIA","no"
"TODDALIA","no"
"TONDUZA","yes"
"TOONA","no"
"TORILIS","no"
"TORREYA","no"
"TOURNEFORTIA","no"
"TOVARIA","no"
"TOVOMITA","no"
"TOXICODENDRON","yes"
"TOXYLON","yes"
"TRACHELANTHUS","yes"
"TRACHELIUM","no"
"TRACHELOSPERMUM","no"
"TRACHYCALYMNA","yes"
"TRACHYLOBIUM","yes"
"TRACHYSPERMUM","no"
"TRAMETES","yes"
"TRAVERSIA","no"
"TREMIA","yes"
"TRENTEPOHLIA","yes"
"TREVOA","no"
"TREWIA","yes"
"TRIANTHEMA","no"
"TRIBONEMA","yes"
"TRIBULUS","no"
"TRICACHNA","yes"
"TRICHADENIA","yes"
"TRICHILIA","no"
"TRICHOCEREUS","no"
"THICHOCLINE","yes"
"TRICHOCOLEA","no"
"TRICHOCOLEOPSIS","no"
"TRICHODERMA","yes"
"TRICHODESMA","no"
"TRICHOGONIA","no"
"TRICHOLOMA","yes"
"TRICHOLOMOPSIS","yes"
"TRICHOSANTHES","no"
"TRICHOSTEMA","no"
"TRICLISIA","no"
"TRIDACHIA","yes"
"TRIFOLIUM","no"
"TRIGONELLA","no"
"TRILLIUM","yes"
"TRIPETALIA","yes"
"TRIPHASIA","no"
"TRIPHYOPHYLLUM","no"
"TRIPTEROSPERMUM","no"
"TRIPTERYGIUM","no"
"TRISTANIA","yes"
"TRITICUM","no"
"TRIUMFETTA","no"
"TRIXIS","no"
"TROCHODENDRON","no"
"TROCHOLEJEUNEA","no"
"TRYPTODENDRON","yes"
"TSUGA","yes"
"TULIPA","no"
"TUPISTRA","no"
"TURBINA","no"
"TURNEFORCIS","yes"
"TURNERA","no"
"TURPINIA","no"
"TURREANTHUS","yes"
"TUSSILAGO","no"
"TYDEMANIA","yes"
"TYLECODON","no"
"TYLOPHORA","no"
"TYPHA","no"
"UDOTEA","yes"
"ULEX","no"
"ULMUS","yes"
"ULUGBEKIA","yes"
"ULVA","yes"
"ULVARIA","yes"
"UMBELLULARIA","no"
"UMBILICARIA","yes"
"UNCARIA","no"
"UNGERNIA","no"
"UNONA","no"
"URCEOLARIA","yes"
"URECHTITES","yes"
"URGINEA","yes"
"UROSPERMUM","no"
"URSINIA","no"
"USNEA","yes"
"USTILAGO","yes"
"UVARIA","no"
"UVARIODENDRON","no"
"UVARIOPSIS","no"
"UVULARIA","no"
"VACCARIA","no"
"VACCINIUM","yes"
"VALERIANA","no"
"VALLARIS","no"
"VALLESIA","no"
"VANDA","yes"
"VANDOPSIS","no"
"VANGUERIA","no"
"VANILLOSMOPSIS","yes"
"VASCANELLA","yes"
"VELLOZIA","no"
"VENTILAGO","no"
"VEPRIS","no"
"VERATRUM","yes"
"VERBASCUM","no"
"VERBENA","no"
"VERBESINA","no"
"VERNONIA","no"
"VERONICA","yes"
"VERTICILLIUM","yes"
"VESTIA","no"
"VETIVERIA","yes"
"VIBURNUM","yes"
"VICIA","yes"
"VICOA","yes"
"VIGNA","no"
"VIGUIERA","no"
"VILEX","yes"
"VILLANOVA","yes"
"VINCA","yes"
"VINCETOXICUM","no"
"VIOLA","yes"
"VIRGILIA","no"
"VIROLA","yes"
"VISCARIA","yes"
"VISCUM","no"
"VISMIA","no"
"VITEX","no"
"VITIS","yes"
"VOACANGA","no"
"VOCHYSIA","no"
"VOUACAPOUA","no"
"WALPURGIA","yes"
"WALSURA","no"
"WALTHERIA","no"
"WARBURGHIA","yes"
"WEDELIA","no"
"WELWITSCHIA","no"
"WIDDRINGTONIA","no"
"WIESNERELLA","no"
"WIGANDIA","no"
"WIKSTROEMIA","no"
"WILCOXIA","yes"
"WITHANIA","no"
"WITHERINGIA","no"
"WOODFORDIA","no"
"WOODWARDIA","no"
"WRIGHTIA","no"
"WUNDERLICHIA","yes"
"WURMBEA","no"
"WYETHIA","no"
"XANTHIUM","no"
"XANTHOCEPHALUM","no"
"XANTHOCERAS","no"
"XANTHOGALUM","yes"
"XANTHORIA","yes"
"XANTHORRHOEA","no"
"XANTHOXYLUM","yes"
"XERANTHEMUM","no"
"XEROCOMUS","yes"
"XEROMPHIS","yes"
"XYLIA","yes"
"XYLOCARPUS","no"
"XYLOPIA","no"
"XYLOSMA","no"
"XYRIS","no"
"XYSMALOBIUM","no"
"YOUNGIA","no"
"YUCCA","no"
"ZALUZANIA","no"
"ZANTHOXYLUM","no"
"ZEA","yes"
"ZEDOARIA","yes"
"ZELKOVA","no"
"ZEPHYRANTHES","no"
"ZEXMENIA","no"
"ZEYHERA","yes"
"ZEYSIA","yes"
"ZIERIA","yes"
"ZINGIBER","no"
"ZINNIA","no"
"ZIZIA","no"
"ZIZIFLORA","yes"
"ZIZYPHUS","no"
"ZOLLERNIA","no"
"ZOYSIA","no"
"ZYGADENUS","no"
